Availability 30;Availability 60;Availability 90;Availability 365;Accommodates;Bathrooms;Bedrooms;Beds;Price;Cleaning Fee;Guests Included;Neighbourhood Cleansed_mean_encoded;Neighbourhood Group Cleansed_mean_encoded;Room Type_mean_encoded
12;33;58;58;5;1.0;2.0;2.0;99.0;20.0;4;60.342919153553986;72.77179221548025;87.29660587639312
0;0;0;0;2;1.0;1.0;2.0;27.0;0.0;1;57.316901408450704;71.9791013584117;87.29660587639312
5;10;20;90;6;1.0;2.0;2.0;125.0;0.0;4;85.58936170212766;72.77179221548025;87.29660587639312
0;0;0;0;2;1.0;1.0;1.0;30.0;15.0;1;78.90445859872611;72.77179221548025;34.25513598121698
21;50;74;345;2;5.0;1.0;2.0;45.0;0.0;1;67.61974944731024;72.77179221548025;34.25513598121698
29;59;89;364;1;1.0;1.0;1.0;25.0;0.0;1;33.410714285714285;46.363751584283904;34.25513598121698
6;23;53;144;3;1.0;1.0;2.0;55.0;29.0;2;78.90445859872611;72.77179221548025;87.29660587639312
7;32;57;332;4;1.0;1.0;2.0;80.0;30.0;2;67.61974944731024;72.77179221548025;87.29660587639312
0;0;0;3;4;1.0;0.0;3.0;60.0;25.0;2;78.0656192236599;72.77179221548025;87.29660587639312
0;4;11;184;2;1.0;1.0;1.0;59.0;10.0;2;60.342919153553986;72.77179221548025;87.29660587639312
21;50;78;353;16;4.0;1.0;8.0;16.0;0.0;1;78.0656192236599;72.77179221548025;29.853403141361255
14;34;56;331;4;1.0;0.0;2.0;40.0;25.0;2;78.90445859872611;72.77179221548025;87.29660587639312
8;10;30;304;4;1.0;2.0;3.0;95.0;30.0;2;85.58936170212766;72.77179221548025;87.29660587639312
16;38;38;72;5;1.0;0.0;1.0;65.0;25.0;2;85.58936170212766;72.77179221548025;87.29660587639312
5;6;22;291;2;1.0;1.0;1.0;35.0;0.0;1;65.95817490494296;66.16144578313254;87.29660587639312
5;14;36;36;1;1.0;0.0;1.0;14.0;0.0;1;42.92307692307692;51.07333333333333;34.25513598121698
16;43;64;339;2;1.0;1.0;1.0;65.0;0.0;1;78.90445859872611;72.77179221548025;87.29660587639312
0;0;10;260;4;2.0;2.0;3.0;120.0;0.0;1;44.75;57.39890710382514;87.29660587639312
